,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2017,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
41,South Carolina,0.0,2133.0,232.0,2380.0,7618.0,1756.0,3427.0,464.0,14723.0,12686.0,298.0,154.0,408.0,3918.0,2940.0,826.0,2444.0,1606.0,2607.0,3276.0,516.0,2673.0,870.0,3347.0,1144.0,506.0,28542.0,76.0,523.0,1013.0,7658.0,524.0,1369.0,11504.0,4867.0,689.0,148.0,6964.0,1506.0,284.0,,82.0,4263.0,9001.0,842.0,8778.0,14.0,1420.0,1627.0,3111.0,0.0,197.0,North Carolina,North Carolina,,,167954.0,128771.0,5021268.0,0.03344852336103152,0.02564511593485948,,0.007803407426172037,39183.0,SC,NC,NC,Foreign
42,South Dakota,183.0,144.0,83.0,402.0,3599.0,1284.0,0.0,0.0,580.0,253.0,531.0,2479.0,44.0,177.0,0.0,332.0,0.0,1257.0,0.0,306.0,89.0,251.0,3510.0,384.0,14.0,217.0,215.0,1751.0,2892.0,28.0,135.0,152.0,282.0,345.0,111.0,105.0,71.0,34.0,358.0,0.0,15.0,,264.0,1156.0,170.0,364.0,0.0,195.0,974.0,0.0,728.0,58.0,California,Minnesota,,,26522.0,27412.0,872868.0,0.030384892102815086,0.03140451935458741,,-0.0010196272517723204,-890.0,SD,CA,MN,Foreign
43,Tennessee,417.0,9523.0,5843.0,2522.0,7879.0,1823.0,2013.0,648.0,19470.0,16865.0,334.0,334.0,562.0,12376.0,4745.0,1796.0,13138.0,2614.0,1109.0,1497.0,586.0,6535.0,978.0,3819.0,8830.0,212.0,8892.0,0.0,515.0,0.0,1209.0,1193.0,854.0,5413.0,5934.0,2680.0,881.0,4677.0,979.0,47.0,2911.0,210.0,,12904.0,652.0,11339.0,235.0,1789.0,1426.0,996.0,362.0,773.0,Florida,Georgia,,,193339.0,154608.0,6708799.0,0.028818720012330077,0.023045555545783976,,0.005773164466546101,38731.0,TN,FL,GA,Foreign
44,Texas,3543.0,10235.0,14222.0,14875.0,63174.0,20023.0,2363.0,297.0,33740.0,16182.0,6376.0,6086.0,2536.0,26214.0,9510.0,11649.0,6561.0,28700.0,5502.0,9793.0,648.0,7030.0,8715.0,13881.0,11199.0,650.0,13288.0,1605.0,2689.0,638.0,7460.0,16395.0,7599.0,20664.0,13300.0,20573.0,3725.0,12684.0,5105.0,10.0,6123.0,1498.0,11630.0,,9131.0,15436.0,662.0,14646.0,7443.0,1353.0,948.0,1714.0,California,California,,,530023.0,465715.0,28295273.0,0.01873185673098118,0.016459109618769185,,0.002272747112211995,64308.0,TX,CA,CA,Foreign
45,Utah,660.0,644.0,177.0,8144.0,17020.0,4625.0,283.0,0.0,1044.0,2218.0,1532.0,81.0,6742.0,1810.0,829.0,367.0,1068.0,317.0,650.0,1127.0,151.0,604.0,1716.0,2070.0,361.0,2043.0,1253.0,2184.0,580.0,0.0,976.0,1781.0,5948.0,1770.0,1944.0,919.0,4102.0,987.0,0.0,0.0,1259.0,0.0,972.0,6536.0,,3187.0,204.0,5270.0,1064.0,142.0,1722.0,502.0,California,California,,,99585.0,89337.0,3101042.0,0.03211339930255701,0.028808703655093998,,0.00330469564746301,10248.0,UT,CA,CA,Foreign
46,Vermont,203.0,0.0,0.0,132.0,1246.0,689.0,839.0,14.0,1645.0,80.0,83.0,80.0,0.0,1317.0,0.0,61.0,0.0,149.0,3975.0,278.0,624.0,352.0,75.0,0.0,0.0,21.0,291.0,0.0,101.0,1690.0,699.0,60.0,301.0,2758.0,44.0,14.0,344.0,483.0,125.0,432.0,87.0,32.0,179.0,485.0,130.0,636.0,,181.0,106.0,48.0,643.0,0.0,Massachusetts,New York,,,21732.0,20425.0,624344.0,0.03480773419781403,0.0327143369680817,,0.0020933972297323272,1307.0,VT,MA,NY,Foreign
47,Virginia,736.0,2341.0,1184.0,2587.0,14509.0,4644.0,3368.0,2107.0,17864.0,8708.0,4947.0,1535.0,107.0,6515.0,1565.0,2771.0,2765.0,2705.0,3493.0,25578.0,1135.0,2991.0,2010.0,2657.0,1060.0,227.0,26277.0,222.0,1054.0,1310.0,8992.0,2344.0,1691.0,12614.0,4754.0,3453.0,511.0,13350.0,1318.0,1453.0,6923.0,494.0,4121.0,15596.0,2123.0,,963.0,5488.0,961.0,5294.0,305.0,850.0,North Carolina,Florida,,,242570.0,255595.0,8463587.0,0.028660424947483852,0.030199370550571526,,-0.0015389456030876734,-13025.0,VA,NC,FL,Foreign
48,Washington,7532.0,1605.0,1074.0,11733.0,52484.0,8473.0,1310.0,943.0,10311.0,5375.0,4855.0,867.0,9963.0,8848.0,1171.0,2249.0,394.0,2401.0,3690.0,2623.0,564.0,3834.0,3192.0,2985.0,245.0,4593.0,6893.0,1249.0,849.0,405.0,3702.0,2156.0,4398.0,6217.0,3520.0,3507.0,28013.0,4611.0,88.0,1606.0,3920.0,279.0,1295.0,14096.0,7603.0,7976.0,503.0,,2106.0,547.0,581.0,1992.0,California,California,,,261426.0,198607.0,7423362.0,0.03521665789705527,0.02675431967348487,,0.008462338223570398,62819.0,WA,CA,CA,Foreign
49,West Virginia,121.0,239.0,0.0,13.0,563.0,463.0,41.0,360.0,2635.0,649.0,0.0,182.0,119.0,194.0,492.0,405.0,904.0,157.0,197.0,4715.0,39.0,805.0,161.0,0.0,346.0,26.0,2944.0,0.0,287.0,217.0,534.0,0.0,30.0,547.0,5544.0,186.0,30.0,4945.0,103.0,91.0,612.0,0.0,1266.0,2175.0,456.0,5388.0,0.0,469.0,173.0,,0.0,0.0,Ohio,Ohio,,,39823.0,43321.0,1817004.0,0.02191684773396206,0.02384199484426011,,-0.0019251471102980505,-3498.0,WV,OH,OH,Foreign
50,Wisconsin,389.0,757.0,601.0,1702.0,4741.0,2101.0,282.0,401.0,5505.0,1797.0,279.0,3018.0,260.0,26963.0,2274.0,443.0,881.0,1047.0,654.0,597.0,904.0,4993.0,19873.0,2204.0,853.0,445.0,2253.0,575.0,432.0,190.0,1351.0,861.0,410.0,1337.0,2174.0,643.0,708.0,2136.0,2541.0,52.0,857.0,145.0,1682.0,5375.0,2141.0,1671.0,105.0,2531.0,,507.0,273.0,74.0,Illinois,Minnesota,,,114988.0,113377.0,5790186.0,0.01985912024242399,0.019580890838394482,,0.00027822940402950913,1611.0,WI,IL,MN,Foreign
51,Wyoming,152.0,264.0,722.0,220.0,2344.0,4254.0,190.0,240.0,148.0,0.0,0.0,511.0,600.0,163.0,18.0,107.0,0.0,134.0,0.0,113.0,0.0,93.0,478.0,286.0,0.0,1375.0,205.0,357.0,473.0,11.0,125.0,7.0,359.0,110.0,66.0,315.0,151.0,98.0,0.0,0.0,0.0,310.0,178.0,979.0,733.0,843.0,0.0,759.0,20.0,0.0,,0.0,Colorado,Colorado,,,18511.0,25954.0,578931.0,0.031974449459434715,0.04483090385555446,,-0.012856454396119744,-7443.0,WY,CO,CO,Foreign
