,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2009,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
20,Maryland,1497.0,1118.0,316.0,3126.0,6639.0,1287.0,2895.0,3935.0,11155.0,5689.0,739.0,263.0,1017.0,2733.0,1268.0,1419.0,1598.0,632.0,3290.0,,1228.0,4223.0,908.0,2403.0,1466.0,0.0,8192.0,0.0,55.0,620.0,6810.0,763.0,206.0,11910.0,3517.0,853.0,326.0,14019.0,681.0,676.0,3310.0,0.0,2906.0,6650.0,714.0,22050.0,889.0,1697.0,1255.0,4826.0,0.0,Virginia,Virginia,,,153769.0,149136.0,5730388.0,0.026833959585284627,0.026025462848239946,,0.0008084967370446811,4633.0,MD,VA,VA,Foreign
21,Massachusetts,1726.0,415.0,368.0,1362.0,11981.0,2117.0,11112.0,65.0,13714.0,1954.0,1798.0,0.0,149.0,6326.0,1810.0,209.0,438.0,64.0,,2984.0,4228.0,3521.0,1351.0,1608.0,164.0,288.0,3313.0,153.0,0.0,10775.0,6850.0,344.0,416.0,22409.0,3233.0,385.0,667.0,5264.0,2941.0,6316.0,566.0,0.0,922.0,2242.0,636.0,4885.0,1413.0,2219.0,819.0,190.0,64.0,New York,New York,,,146774.0,139972.0,6517613.0,0.022519594213402973,0.02147596060091325,,0.0010436336124897243,6802.0,MA,NY,NY,Foreign
22,Michigan,1374.0,3334.0,544.0,3123.0,6753.0,1606.0,646.0,328.0,12319.0,2862.0,170.0,716.0,251.0,11330.0,6550.0,839.0,2155.0,1189.0,1417.0,1667.0,38.0,,1242.0,2437.0,1492.0,92.0,3009.0,309.0,523.0,334.0,2208.0,128.0,1580.0,4583.0,11801.0,821.0,1631.0,2106.0,594.0,177.0,1693.0,156.0,2650.0,6142.0,611.0,2054.0,247.0,3397.0,5888.0,220.0,662.0,Florida,Florida,,,117998.0,206084.0,9901591.0,0.011917074740816906,0.02081322082481492,,-0.008896146083998016,-88086.0,MI,FL,FL,Foreign
23,Minnesota,986.0,526.0,595.0,2571.0,4371.0,2426.0,851.0,0.0,3114.0,2293.0,331.0,5738.0,42.0,5545.0,1206.0,934.0,563.0,0.0,253.0,751.0,35.0,1868.0,,985.0,270.0,661.0,2842.0,7160.0,1486.0,74.0,815.0,639.0,969.0,2275.0,1388.0,1208.0,1088.0,1111.0,0.0,0.0,711.0,3268.0,979.0,4835.0,513.0,1697.0,318.0,2783.0,17189.0,107.0,436.0,Wisconsin,Wisconsin,,,90806.0,112618.0,5281203.0,0.01719418852106234,0.02132430811691957,,-0.00413011959585723,-21812.0,MN,WI,WI,Foreign
24,Mississippi,0.0,6446.0,3833.0,242.0,2379.0,579.0,738.0,89.0,5402.0,5185.0,171.0,113.0,0.0,4127.0,513.0,661.0,818.0,7145.0,319.0,432.0,127.0,2235.0,244.0,1235.0,,0.0,1181.0,77.0,0.0,0.0,232.0,55.0,522.0,409.0,1419.0,915.0,0.0,565.0,103.0,190.0,518.0,118.0,9936.0,5024.0,0.0,842.0,0.0,517.0,1491.0,54.0,0.0,Tennessee,Louisiana,,,67201.0,74014.0,2958774.0,0.022712447790875546,0.025015090709868345,,-0.002302642918992799,-6813.0,MS,TN,LA,Foreign
25,Missouri,814.0,2676.0,5795.0,3269.0,7509.0,2753.0,799.0,82.0,6801.0,3512.0,1047.0,5484.0,311.0,21245.0,2956.0,18757.0,3358.0,1526.0,716.0,994.0,509.0,2304.0,1778.0,,1617.0,303.0,2766.0,235.0,1887.0,0.0,1515.0,515.0,1851.0,2555.0,3895.0,4283.0,915.0,2449.0,66.0,189.0,707.0,1320.0,3262.0,9955.0,1223.0,4702.0,163.0,2346.0,5125.0,969.0,66.0,Illinois,Kansas,,,149874.0,138907.0,5961088.0,0.025142054604796977,0.023302289783341566,,0.0018397648214554113,10967.0,MO,IL,KS,Foreign
26,Montana,1209.0,0.0,133.0,1786.0,2471.0,1967.0,39.0,0.0,2267.0,599.0,93.0,34.0,1616.0,875.0,303.0,0.0,171.0,145.0,238.0,183.0,20.0,306.0,416.0,265.0,395.0,,565.0,1051.0,31.0,35.0,60.0,471.0,1116.0,379.0,269.0,142.0,1764.0,199.0,0.0,68.0,131.0,344.0,417.0,902.0,1021.0,159.0,0.0,4701.0,729.0,45.0,885.0,Washington,Washington,,,31015.0,30219.0,983982.0,0.03151988552636126,0.030710927638920225,,0.0008089578874410329,796.0,MT,WA,WA,Foreign
27,Nebraska,364.0,58.0,279.0,1972.0,4272.0,2393.0,288.0,79.0,4052.0,1024.0,123.0,7080.0,177.0,1472.0,195.0,4783.0,250.0,117.0,309.0,354.0,0.0,1465.0,1757.0,2973.0,418.0,228.0,94.0,682.0,,408.0,22.0,298.0,387.0,515.0,191.0,227.0,138.0,240.0,107.0,0.0,821.0,1191.0,314.0,4072.0,276.0,941.0,265.0,2281.0,908.0,0.0,2285.0,Iowa,Iowa,,,53145.0,43655.0,1812683.0,0.02931841916098954,0.024083085680176843,,0.005235333480812697,9490.0,NE,IA,IA,Foreign
28,Nevada,1188.0,460.0,717.0,7681.0,39762.0,2293.0,386.0,0.0,5438.0,1409.0,3073.0,491.0,3050.0,2451.0,940.0,348.0,643.0,290.0,192.0,329.0,0.0,2516.0,1863.0,1193.0,567.0,345.0,2412.0,637.0,271.0,763.0,505.0,1544.0,,1638.0,549.0,352.0,3268.0,1079.0,738.0,169.0,0.0,346.0,292.0,4991.0,5331.0,1915.0,0.0,3206.0,968.0,20.0,471.0,California,California,,,109090.0,111542.0,2684665.0,0.04063449257169889,0.04154782812753174,,-0.0009133355558328463,-2452.0,NV,CA,CA,Foreign
29,New Hampshire,18.0,347.0,261.0,207.0,1231.0,523.0,2113.0,0.0,1839.0,362.0,52.0,0.0,0.0,536.0,321.0,68.0,0.0,58.0,14984.0,449.0,1792.0,213.0,0.0,130.0,187.0,452.0,761.0,0.0,0.0,,737.0,0.0,0.0,2370.0,537.0,0.0,249.0,804.0,0.0,1256.0,0.0,324.0,133.0,820.0,209.0,1241.0,2109.0,147.0,100.0,0.0,0.0,Massachusetts,Massachusetts,,,37940.0,48350.0,1316102.0,0.028827552879640027,0.03673727416264089,,-0.00790972128300086,-10410.0,NH,MA,MA,Foreign
