,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2018,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
10,Georgia,917.0,15589.0,1900.0,2255.0,16745.0,3497.0,5574.0,520.0,51020.0,,2335.0,1995.0,193.0,6146.0,4151.0,1110.0,2027.0,3082.0,2577.0,5797.0,89.0,5592.0,1042.0,2889.0,2967.0,1018.0,16957.0,364.0,2097.0,103.0,9055.0,1619.0,674.0,10754.0,6935.0,3297.0,909.0,4527.0,1382.0,196.0,16328.0,522.0,18283.0,22746.0,1123.0,6992.0,431.0,3520.0,2627.0,1277.0,1339.0,47769.0,2712.0,Florida,Florida,Florida,277796.0,325565.0,230863.0,10511131.0,0.030973355769231683,0.02196366880024614,0.026428744918125368,0.004465076117879229,46933.0,GA,FL,FL,FL
11,Hawaii,1509.0,484.0,0.0,2167.0,10456.0,3164.0,114.0,52.0,3085.0,2192.0,,586.0,1027.0,583.0,306.0,1385.0,170.0,320.0,656.0,574.0,124.0,115.0,363.0,1129.0,219.0,165.0,843.0,0.0,481.0,0.0,24.0,122.0,502.0,1416.0,510.0,1172.0,1615.0,580.0,68.0,0.0,1072.0,50.0,723.0,4180.0,413.0,3987.0,0.0,4351.0,142.0,0.0,178.0,12936.0,388.0,Foreign Country,California,California,53762.0,66698.0,67381.0,1420593.0,0.04695081561010085,0.047431600747011984,0.03784475919563168,-0.009586841551380301,-13619.0,HI,Foreign,CA,CA
12,Idaho,1179.0,84.0,496.0,3852.0,21018.0,1505.0,1905.0,0.0,1406.0,436.0,0.0,178.0,,120.0,521.0,571.0,40.0,264.0,0.0,75.0,0.0,212.0,631.0,359.0,209.0,2880.0,1331.0,261.0,146.0,0.0,27.0,181.0,3736.0,2943.0,82.0,795.0,4735.0,937.0,703.0,0.0,62.0,0.0,482.0,2605.0,6626.0,804.0,64.0,14955.0,42.0,154.0,856.0,5887.0,134.0,California,Washington,California,80602.0,86489.0,55183.0,1750536.0,0.049407153009135486,0.03152348766320715,0.04604418303879498,0.014520695375587825,25419.0,ID,CA,WA,CA
13,Illinois,1400.0,1280.0,1188.0,5818.0,16518.0,3208.0,1911.0,9.0,13561.0,4106.0,459.0,7727.0,1093.0,,16223.0,2047.0,3289.0,2373.0,3956.0,3011.0,0.0,9210.0,4498.0,15055.0,2169.0,317.0,4544.0,540.0,881.0,42.0,3488.0,1041.0,1555.0,8838.0,6423.0,1041.0,1112.0,5261.0,2677.0,414.0,3542.0,746.0,7084.0,13412.0,2642.0,4710.0,76.0,2855.0,13965.0,869.0,93.0,64608.0,260.0,Foreign Country,Indiana,California,208537.0,273145.0,304561.0,12723071.0,0.021468480369244185,0.02393769554536008,0.016390461076574988,-0.0075472344687850905,-96024.0,IL,Foreign,IN,CA
14,Indiana,138.0,966.0,1271.0,3009.0,6811.0,4695.0,722.0,868.0,8650.0,4525.0,47.0,311.0,887.0,31556.0,,918.0,9224.0,747.0,1010.0,1192.0,128.0,7972.0,1345.0,4404.0,1134.0,248.0,2589.0,0.0,286.0,348.0,2482.0,666.0,1470.0,1512.0,14794.0,1316.0,1020.0,2764.0,2561.0,0.0,2473.0,0.0,5409.0,6321.0,608.0,2453.0,30.0,1192.0,3228.0,477.0,1008.0,29522.0,64.0,Illinois,Illinois,Illinois,147849.0,177371.0,136417.0,6695497.0,0.026491087965538628,0.020374439716723047,0.022081855910024303,0.0017074161933012567,11432.0,IN,IL,IL,IL
15,Iowa,66.0,148.0,410.0,2021.0,4408.0,4856.0,23.0,0.0,1931.0,140.0,689.0,,111.0,15699.0,1251.0,2274.0,393.0,360.0,514.0,0.0,101.0,1504.0,6286.0,4338.0,379.0,499.0,502.0,495.0,8119.0,0.0,20.0,358.0,817.0,438.0,969.0,711.0,173.0,367.0,633.0,0.0,174.0,1664.0,588.0,3400.0,506.0,298.0,0.0,1244.0,4333.0,0.0,240.0,10340.0,0.0,Illinois,Illinois,Illinois,74450.0,84790.0,70497.0,3148618.0,0.026929275002556676,0.022389823090638496,0.02364529453874684,0.0012554714481083432,3953.0,IA,IL,IL,IL
16,Kansas,378.0,476.0,1507.0,1801.0,5660.0,3808.0,322.0,0.0,3991.0,1072.0,564.0,3704.0,449.0,2839.0,731.0,,739.0,1097.0,1424.0,871.0,0.0,825.0,835.0,27726.0,176.0,411.0,1178.0,0.0,2042.0,0.0,613.0,683.0,636.0,1656.0,3377.0,7757.0,456.0,967.0,152.0,0.0,287.0,381.0,1159.0,7554.0,1170.0,1368.0,0.0,1064.0,948.0,90.0,606.0,14360.0,82.0,Missouri,Missouri,Missouri,95632.0,109992.0,96850.0,2911359.0,0.03778029435737743,0.03326625125929162,0.03284788993731106,-0.0004183613219805593,-1218.0,KS,MO,MO,MO
17,Kentucky,115.0,2055.0,397.0,1480.0,2052.0,1643.0,327.0,389.0,7426.0,3638.0,402.0,265.0,2215.0,5108.0,11241.0,3016.0,,722.0,239.0,1689.0,118.0,2912.0,434.0,2910.0,407.0,109.0,3796.0,61.0,90.0,179.0,114.0,598.0,270.0,3283.0,15246.0,1130.0,1044.0,1908.0,1122.0,0.0,1440.0,132.0,12498.0,6360.0,1201.0,3673.0,0.0,1238.0,935.0,3776.0,0.0,11225.0,188.0,Ohio,Ohio,Ohio,111591.0,122816.0,100404.0,4461153.0,0.027530102643868078,0.022506289293373262,0.02501393697996908,0.0025076476865958167,11187.0,KY,OH,OH,OH
18,Louisiana,515.0,1462.0,1653.0,276.0,5743.0,2397.0,584.0,53.0,2878.0,5901.0,1117.0,100.0,69.0,2205.0,458.0,1056.0,3041.0,,630.0,516.0,35.0,1637.0,274.0,679.0,7505.0,222.0,813.0,0.0,44.0,0.0,629.0,1235.0,2065.0,2106.0,963.0,469.0,609.0,687.0,238.0,0.0,1205.0,291.0,1561.0,23588.0,603.0,1330.0,0.0,884.0,407.0,567.0,97.0,12770.0,30.0,Texas,Texas,Texas,81427.0,94197.0,95326.0,4659690.0,0.020215293292043034,0.020457584088211876,0.01747476763475682,-0.0029828164534550575,-13899.0,LA,TX,TX,TX
19,Maine,47.0,0.0,0.0,765.0,850.0,840.0,1734.0,29.0,2082.0,235.0,55.0,0.0,308.0,180.0,204.0,67.0,512.0,38.0,5775.0,377.0,,1320.0,75.0,349.0,214.0,246.0,1049.0,134.0,0.0,4731.0,389.0,97.0,23.0,2909.0,788.0,217.0,181.0,1393.0,0.0,317.0,503.0,71.0,583.0,2386.0,142.0,874.0,997.0,283.0,102.0,0.0,0.0,3324.0,0.0,Massachusetts,New Hampshire,Massachusetts,34471.0,37795.0,24951.0,1339057.0,0.028225086758816093,0.01863326206427359,0.02574274284067071,0.007109480776397118,9520.0,ME,MA,NH,MA
