,NAME,state,county,median_household_income_2000,median_rent_2000,median_house_price_2000,year,unemployment_rate_2000
1762,"Love County, Oklahoma",40,085,3439,388,52100,2000,0.051686483863140016
1763,"Loving County, Texas",48,301,30,575,12500,2000,0.0
1764,"Lowndes County, Alabama",01,085,4905,298,46700,2000,0.11894882434301521
1765,"Lowndes County, Georgia",13,185,32660,495,79800,2000,0.053866690597446885
1766,"Lowndes County, Mississippi",28,087,22851,416,71400,2000,0.075977335091408
1767,"Loíza Municipio, Puerto Rico",72,087,9613,280,68400,2000,0.2678811590659005
1768,"Lubbock County, Texas",48,303,92685,507,65700,2000,0.05827878668569648
1769,"Lucas County, Iowa",19,117,3776,326,59200,2000,0.049436253252385085
1770,"Lucas County, Ohio",39,095,182868,484,88500,2000,0.06317509383969971
1771,"Luce County, Michigan",26,095,2486,430,68200,2000,0.08688965782391388
1772,"Lumpkin County, Georgia",13,187,7532,534,101000,2000,0.039253897550111355
1773,"Luna County, New Mexico",35,029,9387,337,52300,2000,0.17050851384223328
1774,"Lunenburg County, Virginia",51,111,4996,394,62500,2000,0.05197198673055658
1775,"Luquillo Municipio, Puerto Rico",72,089,6577,293,83800,2000,0.23006084525571452
1776,"Luzerne County, Pennsylvania",42,079,130703,434,83500,2000,0.054362641487071095
1777,"Lycoming County, Pennsylvania",42,081,47040,449,84700,2000,0.06314622078143661
1778,"Lyman County, South Dakota",46,085,1392,288,43500,2000,0.09445037353255069
1779,"Lynchburg city, Virginia",51,680,25465,469,84900,2000,0.06671994884910486
1780,"Lynn County, Texas",48,305,2366,289,38500,2000,0.06087602078693393
1781,"Lyon County, Iowa",19,119,4395,350,68600,2000,0.023864384463462805
1782,"Lyon County, Kansas",20,111,13717,420,67300,2000,0.059815314380576884
1783,"Lyon County, Kentucky",21,143,2913,398,72800,2000,0.054557551563539586
1784,"Lyon County, Minnesota",27,083,9678,445,82400,2000,0.0511496285815352
1785,"Lyon County, Nevada",32,019,13023,591,103800,2000,0.06865112909068953
1786,"Mackinac County, Michigan",26,097,5072,429,89800,2000,0.14737971740296907
1787,"Macomb County, Michigan",26,099,309502,603,134900,2000,0.04142567976052653
1788,"Macon County, Alabama",01,087,8914,352,61100,2000,0.12267297966211127
1789,"Macon County, Georgia",13,193,4813,331,48100,2000,0.09120090634441087
1790,"Macon County, Illinois",17,115,46518,448,68500,2000,0.07140086054877619
1791,"Macon County, Missouri",29,121,6494,308,61300,2000,0.03896103896103896
1792,"Macon County, North Carolina",37,113,12855,485,97400,2000,0.04848126524277585
1793,"Macon County, Tennessee",47,111,7942,364,65900,2000,0.049630517275813864
1794,"Macoupin County, Illinois",17,117,19282,422,67200,2000,0.05148134219213572
1795,"Madera County, California",06,039,36207,562,118300,2000,0.13220457394127438
1796,"Madison County, Alabama",01,089,110085,503,98300,2000,0.05676102589682837
1797,"Madison County, Arkansas",05,087,5457,358,71500,2000,0.02651685393258427
1798,"Madison County, Florida",12,079,6635,347,51900,2000,0.054344865159357124
1799,"Madison County, Georgia",13,195,9822,452,79100,2000,0.026772511479492566
1800,"Madison County, Idaho",16,065,7154,298,99300,2000,0.07276771528439784
1801,"Madison County, Illinois",17,119,101958,490,76500,2000,0.053031519237972925
1802,"Madison County, Indiana",18,095,52993,490,80500,2000,0.05717013318309154
1803,"Madison County, Iowa",19,121,5315,445,93300,2000,0.04206113064647011
1804,"Madison County, Kentucky",21,151,27181,428,87500,2000,0.04984668819363417
1805,"Madison County, Mississippi",28,089,27301,590,110900,2000,0.049998657393732715
1806,"Madison County, Missouri",29,123,4711,354,54900,2000,0.0682777138473341
1807,"Madison County, Montana",30,057,2958,460,116300,2000,0.05219206680584551
1808,"Madison County, Nebraska",31,119,13422,434,78900,2000,0.04676047295489808
1809,"Madison County, New York",36,053,25392,509,78700,2000,0.07107522601921874
1810,"Madison County, North Carolina",37,115,7996,367,84100,2000,0.051770822051337595
1811,"Madison County, Ohio",39,097,13690,510,100400,2000,0.03074141048824593
1812,"Madison County, Tennessee",47,113,35537,510,82700,2000,0.06892648126788842
1813,"Madison County, Texas",48,313,3937,436,55300,2000,0.05826771653543307
1814,"Madison County, Virginia",51,113,4744,494,111800,2000,0.03179824561403509
1815,"Madison Parish, Louisiana",22,065,4459,334,43900,2000,0.12492320294900676
1816,"Magoffin County, Kentucky",21,153,5030,294,36700,2000,0.12759242560865644
1817,"Mahaska County, Iowa",19,123,8881,420,69100,2000,0.04465157567687528
1818,"Mahnomen County, Minnesota",27,087,1964,302,61900,2000,0.06719865602687947
1819,"Mahoning County, Ohio",39,099,102629,446,79900,2000,0.06334210283005388
1820,"Major County, Oklahoma",40,093,3056,345,53100,2000,0.03282626100880705
1821,"Malheur County, Oregon",41,045,10236,443,86300,2000,0.11091881686595342
1822,"Manassas Park city, Virginia",51,685,3253,930,115700,2000,0.022038081805359662
1823,"Manassas city, Virginia",51,683,11785,801,148600,2000,0.037137775917983055
1824,"Manatee County, Florida",12,081,112456,637,96000,2000,0.03525884674188782
1825,"Manatí Municipio, Puerto Rico",72,091,15289,277,71500,2000,0.23982188295165394
1826,"Manistee County, Michigan",26,101,9829,424,79200,2000,0.06538078420719008
1827,"Manitowoc County, Wisconsin",55,071,32731,433,91200,2000,0.03643416066904329
1828,"Marathon County, Wisconsin",55,073,47737,484,96200,2000,0.03814147018030513
1829,"Marengo County, Alabama",01,091,8788,305,53800,2000,0.08702048206404889
1830,"Maricao Municipio, Puerto Rico",72,093,2015,252,47300,2000,0.288671650373778
1831,"Maricopa County, Arizona",04,013,1133048,666,122000,2000,0.0471536684013051
1832,"Maries County, Missouri",29,125,3536,351,71900,2000,0.035897435897435895
1833,"Marin County, California",06,041,100736,1162,493300,2000,0.029687640922346152
1834,"Marinette County, Wisconsin",55,075,17590,400,70100,2000,0.05409417768499188
1835,"Marion County, Alabama",01,093,12676,328,55900,2000,0.08082827561585149
1836,"Marion County, Arkansas",05,089,6762,388,69600,2000,0.05058605798889575
1837,"Marion County, Florida",12,083,106707,513,70100,2000,0.05804332420371186
1838,"Marion County, Georgia",13,197,2685,317,58100,2000,0.03622497616777884
1839,"Marion County, Illinois",17,121,16616,371,53500,2000,0.06945470666469632
1840,"Marion County, Indiana",18,097,352261,567,97200,2000,0.05369486872960681
1841,"Marion County, Iowa",19,125,12055,472,87100,2000,0.03408348672881658
1842,"Marion County, Kansas",20,115,5082,374,59000,2000,0.028720626631853787
1843,"Marion County, Kentucky",21,155,6603,353,70200,2000,0.059194565744784086
1844,"Marion County, Mississippi",28,091,9371,345,52800,2000,0.07008894044856923
1845,"Marion County, Missouri",29,127,11064,358,67400,2000,0.06728890818319948
1846,"Marion County, Ohio",39,101,24626,500,77000,2000,0.044534283055796195
1847,"Marion County, Oregon",41,047,101791,574,128700,2000,0.07740607083612235
1848,"Marion County, South Carolina",45,067,13277,386,55600,2000,0.09789272030651341
1849,"Marion County, Tennessee",47,115,11034,420,66700,2000,0.053759221472296344
1850,"Marion County, Texas",48,315,4605,399,41000,2000,0.08207780526197436
1851,"Marion County, West Virginia",54,049,23649,401,60400,2000,0.07946815089672232
1852,"Mariposa County, California",06,043,6592,502,138700,2000,0.14136717768283488
1853,"Marlboro County, South Carolina",45,069,10458,342,49000,2000,0.08203254732646961
1854,"Marquette County, Michigan",26,103,25738,398,75700,2000,0.06157138489758484
1855,"Marquette County, Wisconsin",55,077,5949,456,87900,2000,0.05435868169496362
1856,"Marshall County, Alabama",01,095,32636,406,76200,2000,0.05740359897172236
1857,"Marshall County, Illinois",17,123,5247,410,77400,2000,0.03729706011408512
1858,"Marshall County, Indiana",18,099,16503,500,88900,2000,0.0419701699618453
1859,"Marshall County, Iowa",19,127,15323,458,70900,2000,0.04398621998102751
1860,"Marshall County, Kansas",20,117,4465,324,51300,2000,0.03462172559076754
1861,"Marshall County, Kentucky",21,157,12412,407,78100,2000,0.04162189268572247
1862,"Marshall County, Minnesota",27,089,4111,317,52600,2000,0.08735122049626791
1863,"Marshall County, Mississippi",28,093,12139,375,60200,2000,0.08847573839662447
1864,"Marshall County, Oklahoma",40,095,5374,354,49300,2000,0.041779706999457406
1865,"Marshall County, South Dakota",46,091,1833,302,44900,2000,0.043813192103996146
1866,"Marshall County, Tennessee",47,117,10289,444,85000,2000,0.04284565328653944
1867,"Marshall County, West Virginia",54,051,14208,347,60500,2000,0.07544151522907602
1868,"Martin County, Florida",12,085,55379,633,114400,2000,0.04213230330758269
1869,"Martin County, Indiana",18,101,4196,356,60700,2000,0.05785448127083742
1870,"Martin County, Kentucky",21,159,4769,286,44500,2000,0.12780898876404495
1871,"Martin County, Minnesota",27,091,9062,342,64200,2000,0.04142908054169637
1872,"Martin County, North Carolina",37,117,10029,400,61600,2000,0.08000689714630571
1873,"Martin County, Texas",48,317,1636,311,50700,2000,0.0490506329113924
1874,"Martinsville city, Virginia",51,690,6506,401,69400,2000,0.08665070338222089
1875,"Mason County, Illinois",17,125,6377,390,59600,2000,0.06114632857897517
1876,"Mason County, Kentucky",21,161,6836,369,71200,2000,0.05398425971470733
1877,"Mason County, Michigan",26,105,11436,425,83300,2000,0.07274987204796374
1878,"Mason County, Texas",48,319,1592,306,69000,2000,0.016194331983805668
1879,"Mason County, Washington",53,045,18876,579,120400,2000,0.08248102936324646
1880,"Mason County, West Virginia",54,053,10620,316,58200,2000,0.10094909404659189
1881,"Massac County, Illinois",17,127,6256,373,60800,2000,0.05860959574765701
1882,"Matagorda County, Texas",48,321,13939,411,56700,2000,0.08395181895607738
1883,"Matanuska-Susitna Borough, Alaska",02,170,20552,700,122500,2000,0.10158381461928215
1884,"Mathews County, Virginia",51,115,3934,506,111400,2000,0.031588873173031586
1885,"Maui County, Hawaii",15,009,43563,788,241900,2000,0.049527199239899254
1886,"Maunabo Municipio, Puerto Rico",72,095,4011,257,55400,2000,0.26141205112598903
1887,"Maury County, Tennessee",47,119,26511,514,95400,2000,0.0421320791691162
