STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,073,216887632.0,0.0146545931212896,31784.0,0.0153542043363508,34659.0,393,3,0,0,0,0,171,140,59,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,075,286640.0,0.2850265140943344,817.0,0.3102485812135744,568.0,175,1,1,0,0,0,54,97,20,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,077,8402688.0,0.068632799408951,5767.0,0.0650187509433524,4368.0,355,2,0,0,0,0,236,88,26,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,079,909927.0,0.1536386984889996,1398.0,0.2595624449669559,2146.0,168,0,1,0,0,0,118,38,10,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,081,35495350.0,0.0467976791326187,16611.0,0.0467961748971183,10409.0,124,0,0,0,0,0,49,49,22,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,083,5872000.0,0.098075613079019,5759.0,0.0667280919514694,3364.0,185,0,0,0,0,0,113,42,20,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,085,210358.0,0.2357885129160764,496.0,0.4549733291496705,870.0,71,0,0,0,0,0,21,36,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,087,1388898.0,0.1526389986881686,2120.0,0.1842187076247362,1671.0,61,0,0,0,0,0,10,35,15,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,089,100805250.0,0.0235017521408855,23691.0,0.0220084738993524,17105.0,507,2,0,0,0,0,338,124,35,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,091,586936.0,0.21859282783812878,1283.0,0.2314415132601292,1260.0,85,0,0,0,0,0,30,38,13,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,093,991678.0,0.179090390227473,1776.0,0.1370746653765521,1547.0,159,0,1,0,0,0,64,72,22,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,095,6461925.0,0.0817248730061088,5281.0,0.0788092256438867,4937.0,227,1,0,0,0,0,162,44,17,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,097,96753294.0,0.0161296833986861,15606.0,0.0163307627528125,16901.0,281,1,0,0,0,0,145,72,56,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,099,630840.0,0.1456787775030118,919.0,0.11778896368622851,874.0,80,1,0,0,0,0,37,22,18,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,101,51267824.0,0.032010330690064,16411.0,0.03326134378911,15756.0,139,2,0,0,0,0,50,42,39,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,103,10458652.0,0.057368769895011294,6000.0,0.0555706984492245,6471.0,259,1,0,0,0,0,149,75,28,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,105,295932.0,0.2821594150007434,835.0,0.440064460146275,994.0,60,0,0,0,0,0,18,31,8,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,107,461016.0,0.1342686587884151,619.0,0.23045397609116,758.0,97,0,1,0,0,0,37,49,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,109,2132568.0,0.1583067925618315,3376.0,0.2149079981419511,2267.0,51,0,0,0,0,0,14,26,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,111,800460.0,0.1840191889663443,1473.0,0.205310130029749,1029.0,128,0,0,0,0,0,44,56,23,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,113,3451420.0,0.1256004774846295,4335.0,0.153969570315028,6138.0,84,0,0,0,0,0,31,34,16,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,115,4749076.0,0.1093686435003356,5194.0,0.1029920339257659,3795.0,169,1,0,0,0,0,50,86,27,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,117,29059212.0,0.0521899905613407,15166.0,0.0395464204998882,11020.0,227,0,0,0,0,0,86,98,34,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,119,157548.0,0.2031127021606114,320.0,0.2662595379044005,797.0,98,2,0,0,0,0,39,52,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,121,7359834.0,0.0694173265320929,5109.0,0.0737230015093584,4394.0,213,1,0,0,0,0,76,97,37,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,123,2006300.0,0.12126800578178729,2433.0,0.130221992324137,1800.0,135,0,0,0,0,0,41,69,23,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,125,36393196.0,0.0453024241124632,16487.0,0.030791397409322095,8738.0,312,1,0,1,0,0,111,135,56,11,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,127,4015717.0,0.0726395809266439,2917.0,0.0791567605349557,2573.0,173,0,2,0,0,0,49,77,37,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,129,239848.0,0.3423001234114939,821.0,0.2122628978268955,799.0,97,0,0,0,0,0,41,33,18,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,131,212041.0,0.1391240373324027,295.0,0.2498029168309026,507.0,38,1,0,0,0,0,17,18,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,133,741520.0,0.1855647858452907,1376.0,0.22959111872393972,1142.0,133,1,0,0,0,0,39,60,29,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,013,108595.0,0.6685390671762051,726.0,1.987383464522972,356.0,33,2,0,0,0,0,32,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,016,350464.0,0.4342814097881666,1522.0,0.8099152488370611,1271.0,13,0,0,0,0,0,9,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,020,87932669.0,0.0284751961753827,25039.0,0.0243836552684315,39166.0,93,0,0,0,0,0,89,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,185,162600.0,0.2484624846248462,404.0,0.7078525189980298,1006.0,91,0,0,0,0,0,88,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,195,53060.0,0.5804749340369393,308.0,0.7957015213716494,659.0,86,0,0,0,0,0,80,2,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,220,252967.0,0.3304778884202287,836.0,0.2859240369382945,740.0,30,0,0,0,0,0,23,2,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,001,3469581.0,0.0920284034296936,3193.0,0.0963945542642346,4330.0,81,2,0,0,0,0,81,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,003,32573653.0,0.0452236658872739,14731.0,0.055103051741503,12381.0,152,4,1,0,0,0,100,33,21,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,005,18929813.0,0.062256293815475,11785.0,0.0611218371756033,12056.0,205,1,2,0,0,0,203,2,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,007,2450256.0,0.1453725651523759,3562.0,0.15165686652844,3478.0,163,1,0,0,0,0,143,11,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,009,1678348.0,0.1985881354760753,3333.0,0.2238853019478379,3125.0,66,0,0,0,0,0,40,18,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,011,152540.0,0.5526419299855776,843.0,0.47058823529411753,592.0,41,0,0,0,0,0,35,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,012,715284.0,0.1821654056290927,1303.0,0.20134818574858843,1236.0,75,2,0,0,0,0,53,10,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,013,3802084136.0,0.0060031285956792,228244.0,0.0037372121680088,159992.0,368,2,2,0,0,0,219,33,79,36,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,015,39123840.0,0.0478633999116651,18726.0,0.0321991585448346,12738.0,221,3,3,0,0,0,190,14,14,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,017,7826328.0,0.0991397242742701,7759.0,0.0771618606424203,7623.0,148,1,1,0,0,0,146,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,019,555539736.0,0.0119622406271943,66455.0,0.008099205156623,42906.0,469,7,2,0,0,0,265,93,101,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,021,103448065.0,0.0454392259536222,47006.0,0.0387211373717334,22758.0,131,2,1,0,0,0,72,25,27,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,023,920040.0,0.1206469283944176,1110.0,0.1362881412233663,1436.0,97,2,3,1,0,0,72,16,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,025,43404060.0,0.0373329130961481,16204.0,0.0280300064347968,13616.0,229,3,0,0,0,0,216,9,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,027,38490408.0,0.0379575087902419,14610.0,0.0266283181124313,8274.0,59,0,0,0,0,0,35,6,15,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,001,649570.0,0.13100974490817,851.0,0.23417261641498702,1779.0,160,0,0,0,0,0,141,5,5,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,003,530064.0,0.1882791511968366,998.0,0.1737514566776201,1324.0,180,2,1,0,0,0,87,44,36,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,005,4162008.0,0.0851992595881603,3546.0,0.0864526612880235,2426.0,241,2,0,0,0,0,218,7,8,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,007,51165556.0,0.0366320655247057,18743.0,0.0315908613695664,11833.0,276,1,0,0,0,0,199,36,26,15,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,009,2330965.0,0.1051495839705873,2451.0,0.1334288077132541,2646.0,173,1,0,0,0,0,146,11,11,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,011,199563.0,0.2194795628448159,438.0,0.3229809017277608,1036.0,143,1,0,0,0,0,120,5,9,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,013,42824.0,0.7519148141229217,322.0,0.522837971320549,307.0,155,0,0,0,0,0,116,13,9,16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,015,1164053.0,0.1379662266237018,1606.0,0.1121366690956197,1385.0,161,1,0,0,0,0,126,18,12,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,017,375100.0,0.2210077312716609,829.0,0.2611019736842105,889.0,157,2,0,0,0,0,64,46,29,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,019,1542816.0,0.23107097670752702,3565.0,0.2161263672191543,2187.0,250,0,0,0,0,0,200,23,15,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,021,428166.0,0.1672248613855373,716.0,0.2474306738019946,1302.0,137,0,0,0,0,0,61,52,16,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,023,1153082.0,0.1953026757854168,2252.0,0.1692719845423433,1972.0,152,0,0,0,0,0,127,6,7,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,025,136016.0,0.3058463710151747,416.0,0.1920293888455972,207.0,134,0,0,0,0,0,103,4,14,12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,027,1126167.0,0.1475802434274845,1662.0,0.1440501282991202,1509.0,129,3,1,0,0,0,98,10,20,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,029,769120.0,0.1694143956729769,1303.0,0.1872334425998378,1328.0,201,1,2,0,0,0,162,12,18,11,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
