,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_5_Outflow_pc,minus_5_Inflow_pc,minus_5_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
median_rent_2000,0.02469361618449374,0.006761655390845608,0.0056840698826777026,0.016144164813969332,0.010067529299495769,0.009332997060464355,0.01609164387188222,0.004846943327978213,0.009420137792906522,0.015722325317340847,0.005546636754679825,0.005084586951760339
per_homes_family,0.006210641095777328,0.008853693942642548,0.0096490887971713,0.010260201814078015,0.009738019537674735,0.012124449591552587,0.005153710806096534,0.007705080392213417,0.00880667241508647,0.009442708977390673,0.00892584191430653,0.012313628542859419
per_homes_renter_occupied,0.00519616482113329,0.007612852581776681,0.009309845805013393,0.0071796224200147505,0.0047995223763846176,0.009414629127615702,0.005966720962990626,0.004120248446696687,0.008512964904769903,0.009109222589801033,0.007760707151519627,0.009093036243129153
per_homes_vaccant_by_homes,0.015460388199112322,0.007334351722939381,0.026900718436678947,0.019113132821525967,0.006429861079569271,0.007859401508547647,0.019899822907699927,0.006385178700978303,0.02773562245830012,0.027087365142771363,0.01248011818792766,0.038875398098018585
per_homes_without_kitchen,0.0036806147893012563,0.003400314739185466,0.003748851835787496,0.00314131401806839,0.004543245866963039,0.006348316444835399,0.002635048150324082,0.004486772296241895,0.0063693449618966004,0.004661473197200073,0.007855034074158164,0.00479639846761961
per_homes_without_plumbing,0.001699105975887027,0.0024945015469137774,0.0037805843611811614,0.003347843758768326,0.0021037739079220125,0.004206431056570387,0.0019116245207237196,0.002531832991253968,0.005030777944411348,0.0028343845505981575,0.0021923636760499024,0.004624011364841205
per_households_below_poverty_line,0.006590011377751677,0.015129063153252114,0.008909891569344271,0.015134165717327579,0.023220670578588825,0.011691700813090924,0.010482463375512152,0.009620583421761909,0.011289901301044916,0.008450556714838305,0.02168104676625514,0.011879555851540444
per_pop_US_born_other_state,0.005199850745438303,0.007119142209276607,0.006736902677928155,0.005051746020241977,0.007966104313697172,0.005207918544419765,0.005430944386147781,0.004909328283184626,0.006647729322147823,0.007380831169346987,0.007362441395165446,0.005969545160538283
per_pop_US_born_same_state,0.0030877249942291175,0.004748176354032806,0.005364313356056397,0.004568376106078935,0.003202383751692744,0.004972456597508614,0.003840096434232419,0.005272225955804811,0.0075502562789168,0.004393174878386491,0.004757503241179901,0.008624744604536516
per_pop_edu_associates,0.006806561544015458,0.00867687398434439,0.009917238458257418,0.011254866900666906,0.006744072207971327,0.011506412618409081,0.006808433291951822,0.01024012813352734,0.011117507891171982,0.005938304393734272,0.007765748823820635,0.011048958810118824
per_pop_edu_bachelors,0.003933366426364468,0.013962005499491264,0.009179344303810759,0.013230131439388972,0.02295459185496588,0.023912865552771733,0.005350373365898747,0.022669960770351244,0.012595810867744006,0.00384556039610282,0.01678054453500288,0.010291208643032363
per_pop_edu_graduate,0.008395230644990637,0.006760818647253097,0.00992283380168602,0.006233479797945664,0.0049617080409261665,0.006839918827393352,0.004815983367125478,0.007524478964110082,0.0071325005916792975,0.006566616885846075,0.005252597663043427,0.006303964498662356
per_pop_edu_high_school_grad,0.0496854884481754,0.004836219597875707,0.11929643060928308,0.006711353331499724,0.0088712561953027,0.21575089525382465,0.15238144034647635,0.020195130803058046,0.06472678887604172,0.004537051822216838,0.01631904109456009,0.04363779629891476
per_pop_edu_less_than_high_school,0.0035178250213744656,0.014126989025466285,0.011743321537724753,0.005636892554947995,0.009151254307328778,0.012652069622947824,0.0034269031024434914,0.012222879822392148,0.011522084463637158,0.005921127124921495,0.011837306923131922,0.009232189709941779
per_pop_edu_some_college,0.004278981992600824,0.006747062811866318,0.006823026496953057,0.005021103711190839,0.007250820943183136,0.0132440127638258,0.003936696590163171,0.008845148476782676,0.00967257337597348,0.005314654998276957,0.007760984879350009,0.009188791817345944
per_pop_female,0.009368718626028318,0.005921994948973403,0.011714548360288039,0.008102805398006339,0.004896878094754009,0.012762234396611472,0.007920939276443108,0.005286576898270088,0.01329432704414919,0.008450726409169702,0.005827864525287198,0.010837856288186745
per_pop_foreign_born,0.004378735618775606,0.01268621664074651,0.007307683511563387,0.008308196991509297,0.011597776384862708,0.006668778714266977,0.003461869744981783,0.01219991608960998,0.00764843530917123,0.005063718503604673,0.00813059072122146,0.0065897178222119965
